city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,station_avg_temp_c
sj,1990,36,03-09-1990,0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.6357143,296.1171429,30.4,77.17285714,28.32857143
sj,1990,37,10-09-1990,0.1279667,0.4371,0.1234,0.1482833,64.56,300.6742857,300.7928571,297.1928571,24.18,81.55142857,28.68571429
sj,1990,38,17-09-1990,0.19635,0.1824333,0.2548286,0.3056857,143.73,299.8571429,299.9,296.4314286,36.6,81.63714286,28.24285714
sj,1990,39,24-09-1990,0.1161,0.2609,0.1994429,0.2442167,51.39,300.4271429,300.6,296.0285714,16.4,77.04857143,28.34285714
sj,1990,40,01-10-1990,0.22855,0.18975,0.2124857,0.2011857,31.18,300.7757143,300.85,296.6642857,36.1,78.52,28.77142857
sj,1990,41,08-10-1990,0.17115,0.06755,0.1794667,0.1577167,51.42,299.8571429,299.9428571,296.9285714,132.4,84.11,28.62857143
sj,1990,42,15-10-1990,,0.0702,0.1816167,0.16575,143.55,299.1957143,299.3071429,296.5442857,279.6,85.62142857,27.62857143
sj,1990,43,22-10-1990,0.1462,0.08975,0.1288286,0.1239286,127.03,298.9028571,299.0428571,296.2571429,94.52,85.50285714,26.77142857
sj,1990,44,29-10-1990,0.25225,0.1834333,0.318,0.2959,101.35,299.7271429,299.7785714,296.5342857,22.26,82.78714286,27.97142857
sj,1990,45,05-11-1990,0.1526,0.181775,0.1783286,0.1866286,20.46,299.9728571,300.0357143,296.5642857,14.4,81.71571429,28.47142857
sj,1990,46,12-11-1990,0.2908,0.2246,0.1803857,0.2348857,20,300.35,300.5,295.6871429,7.1,75.72857143,27.54285714
sj,1990,47,19-11-1990,0.2722,0.33035,0.1316333,0.1253833,20.04,299.5114286,299.6357143,295.3757143,36.7,78.15142857,26.8
sj,1990,48,26-11-1990,0.1367667,0.216525,0.1767857,0.1415857,33.61,298.2385714,298.2642857,294.8114286,44.3,81.38571429,26.2
sj,1990,49,03-12-1990,0.1098,0.0886,0.2667833,0.2517,9.96,298.5428571,298.6857143,294.7828571,71.8,79.90857143,25.98571429
sj,1990,50,10-12-1990,0.12135,0.26166,0.1913857,0.2099857,0,298.2028571,298.2785714,292.0042857,4.1,68.72285714,24.68571429
sj,1990,51,17-12-1990,0.2931333,0.2668667,0.2608571,0.3027286,52.45,298.2971429,298.3785714,294.5585714,32.31,80.08285714,25.71428571
sj,1990,52,24-12-1990,0.3025,0.2772333,0.1712667,0.1616222,0,298.0385714,298.0857143,292.1057143,5.46,69.68142857,25.15714286
sj,1991,1,01-01-1991,0.1465,0.1404667,0.1515,0.1673143,0,297.06,297.1357143,291.9071429,4.8,72.93857143,24.38571429
sj,1991,2,08-01-1991,,0.1004667,0.2519,0.1376167,15.85,297.6742857,297.8285714,293.2828571,26.33,76.62857143,24.91428571
sj,1991,3,15-01-1991,,0.2935667,0.2599429,0.2179,0,297.4228571,297.6571429,293.4128571,27.4,78.5,25.24285714
sj,1991,4,22-01-1991,0.3313,0.3093333,0.2210286,0.2027571,0,297.8842857,298.15,292.3828571,0.7,71.59714286,24.71428571
sj,1991,5,29-01-1991,0.0917,0.246425,0.2438571,0.1956,0,298.0442857,298.2285714,292.5728571,5.7,71.78428571,24.82857143
sj,1991,6,05-02-1991,0.3801,0.2285667,0.2550429,0.2258,0,297.74,297.9285714,293.15,19.69,75.79428571,25.05714286
sj,1991,7,12-02-1991,0.0712,0.2211,0.2762429,0.2673429,18.05,296.8842857,297.1142857,292.9728571,21.4,78.89571429,25.14285714
sj,1991,8,19-02-1991,,0.2094,0.1084333,0.1194,0,297.4142857,297.6142857,293.6314286,26.2,79.74,25.84285714
sj,1991,9,26-02-1991,0.1702,0.2086,0.13752,0.1914333,31.79,297.5057143,297.8285714,293.4071429,23.8,77.97714286,25.25714286
sj,1991,10,05-03-1991,0.21075,0.2641,0.2476857,0.2163571,0,297.7771429,298.0785714,293.5314286,8.3,77.31571429,26.01428571
sj,1991,11,12-03-1991,,,0.21325,0.2405429,0,297.4314286,297.6357143,293.3357143,13.37,78.13857143,25.92857143
sj,1991,12,19-03-1991,0.1279,0.1784,0.1470143,0.1593,0,297.4071429,297.6142857,293.2542857,11.1,77.88285714,26.08571429
sj,1991,13,26-03-1991,0.28035,0.223575,0.2478833,0.2473857,0,297.47,297.6928571,293.74,21.26,80.00142857,26.05714286
sj,1991,14,02-04-1991,0.1691,0.216825,0.2605143,0.2219714,12.92,297.0642857,297.1857143,292.48,20.9,75.66285714,25.24285714
sj,1991,15,09-04-1991,0.1765,0.2763,0.1845333,0.1773667,6,297.3728571,297.6571429,293.6157143,19.78,79.62857143,25.3
sj,1991,16,16-04-1991,0.0774,0.1024,0.16355,0.2061667,44.57,297.2842857,297.3928571,292.17,21.9,73.35142857,25.51428571
sj,1991,17,23-04-1991,,0.18845,0.1883143,0.2249429,32.72,298.0742857,298.2357143,294.0285714,19.7,78.44714286,26.52857143
sj,1991,18,30-04-1991,0.2091667,0.160575,0.1761714,0.1761714,0,298.8314286,299.0714286,294.97,8.38,79.36,27.31428571
sj,1991,19,07-05-1991,0.11595,0.180175,0.1063857,0.1111857,35.38,298.6385714,298.7214286,294.8128571,20.6,79.54142857,26.92857143
sj,1991,20,14-05-1991,,0.10455,0.15115,0.0964,4.16,298.3257143,298.4071429,294.6185714,35.37,80.06714286,26.52857143
sj,1991,21,21-05-1991,0.0669,0.1335667,0.09711667,0.1356,51.16,298.5842857,298.4571429,295.1242857,59.3,81.30142857,27.38571429
sj,1991,22,28-05-1991,0.1401,0.1594667,0.2143167,0.2571,55.37,298.8085714,298.8857143,295.2742857,43.4,81.08857143,27.94285714
sj,1991,23,04-06-1991,0.08585,0.087,0.1196,0.1659286,8.08,299.5185714,299.75,294.9257143,5,76.07428571,28.07142857
sj,1991,24,11-06-1991,0.1091,0.1564667,0.1734286,0.1739714,6.09,299.8914286,300.0714286,295.4928571,5.82,77.03571429,28.22857143
sj,1991,25,18-06-1991,0.0596,0.09235,0.1301286,0.1306429,44.25,299.7757143,299.9714286,296.3,17,81.42142857,28.92857143
sj,1991,26,25-06-1991,0.07965,0.122,0.1851143,0.1582429,73.76,299.41,299.4785714,296.2285714,37.8,82.74571429,27.91428571
sj,1991,27,02-07-1991,,0.1779333,0.2015286,0.1981571,26.7,299.3714286,299.3857143,295.9457143,51.99,81.69428571,28.37142857
sj,1991,28,09-07-1991,0.0969,,0.13805,0.1679167,6.13,300.0014286,300.1714286,295.7914286,18.7,77.87714286,28.41428571
sj,1991,29,16-07-1991,,0.07733333,0.09982857,0.1166429,29.67,300.2342857,300.3428571,296.0814286,23.6,78.24142857,28.8
sj,1991,30,23-07-1991,0.0801,0.00805,0.1380333,0.1290667,56.58,299.8085714,299.9785714,296.3328571,27.4,81.48285714,28
sj,1991,31,30-07-1991,,,0.1906429,0.1593286,48.41,299.8528571,299.9642857,296.4785714,34.39,81.89714286,28.57142857
sj,1991,32,06-08-1991,0.07315,0.1124,0.1925857,0.2093571,13.29,299.8314286,299.8642857,296.4685714,31.5,81.96,28.5
sj,1991,33,13-08-1991,0.0593,,0.1551,0.1567,0,300.42,300.65,296.4842857,20.4,79.19714286,29.42857143
sj,1991,34,20-08-1991,0.0569,0.09814,0.1285143,0.1437286,51.88,300.3114286,300.3857143,296.5814286,25.47,80.25571429,29.27142857
sj,1991,35,27-08-1991,0.0693,0.05705,0.22504,0.1864,55.2,300.1171429,300.2,296.67,23.8,81.59428571,28.15714286
sj,1991,36,03-09-1991,0.10805,0.091675,0.1398,0.1624143,65.9,300.1057143,300.15,296.7985714,42.33,82.31,28.94285714
sj,1991,37,10-09-1991,0.10475,0.1598333,0.11208,0.1446429,33.56,300.54,300.6357143,296.4514286,11.4,78.62714286,28.97142857
sj,1991,38,17-09-1991,0.1098,0.1527333,0.1685714,0.1688714,29.53,300.5271429,300.6,296.9014286,28.8,80.87714286,28.91428571
sj,1991,39,24-09-1991,0.1676,0.1489,0.1714286,0.2181429,73.55,300.06,300.05,296.59,77.5,81.42428571,28.14285714
sj,1991,40,01-10-1991,0.1291,0.16672,0.177,0.1955571,31.68,299.65,299.6928571,296.3971429,60,82.48571429,27.74285714
sj,1991,41,08-10-1991,0.093,0.093,0.1450833,0.1681667,32.1,299.5628571,299.6714286,295.8871429,55.1,80.51571429,27.65714286
sj,1991,42,15-10-1991,0.0137,0.12886,0.1090429,0.1070286,3.29,299.8971429,299.9214286,296.0185714,31.19,79.38285714,28.54285714
sj,1991,43,22-10-1991,0.1944,0.1186,0.1808143,0.1998714,50.24,299.8914286,299.9928571,295.4557143,12.6,76.77714286,27.82857143
sj,1991,44,29-10-1991,0.094,0.09665,0.1255667,0.1213167,72.61,299.9057143,299.9928571,295.9185714,26.83,78.98714286,28.11428571
sj,1991,45,05-11-1991,0.0544,0.05475,0.1121333,0.1193857,42.92,299.09,299.2785714,295.5671429,74.83,81.05857143,27.18571429
sj,1991,46,12-11-1991,0.0954,0.1114,0.1949429,0.1980571,78.73,298.6857143,298.7857143,295.6157143,72.7,83.51428571,26.65714286
sj,1991,47,19-11-1991,0.00825,0.028425,0.1387429,0.1796429,0,298.6985714,298.7071429,294.03,15.1,75.54857143,26.31428571
sj,1991,48,26-11-1991,0.08786667,0.1519,0.1796286,0.1661857,35.34,298.3757143,298.5,294.9385714,78.43,81.48571429,26.27142857
sj,1991,49,03-12-1991,0.0802,0.14025,0.1336286,0.1344571,0,298.6428571,298.8428571,294.9742857,35.1,80.27571429,26.72857143
sj,1991,50,10-12-1991,-0.02665,0.2128,0.2224143,0.2289429,0,298.5185714,298.5928571,294.5142857,26.8,78.62142857,25.61428571
sj,1991,51,17-12-1991,,0.04613333,0.1144,0.04045714,0,298.0842857,298.1357143,292.8657143,8.76,72.86142857,25
sj,1991,52,24-12-1991,0.12355,0.1237,0.1379333,0.1297556,0,296.5214286,296.5071429,292.0457143,19.3,76.12714286,24.35714286
sj,1992,1,01-01-1992,0.1251,0.1578667,0.1852833,0.1813667,,,,,,,
sj,1992,2,08-01-1992,0.1008333,0.073575,0.1387143,0.1127857,200.85,297.9128571,298.1214286,294.4571429,18.3,81.3,25.65714286
sj,1992,3,15-01-1992,0.2224,0.2299,0.1984571,0.1994143,3.12,297.3385714,297.4857143,294.4671429,19.8,84.11714286,25.47142857
sj,1992,4,22-01-1992,0.1225333,0.13105,0.1888429,0.1688714,0,297.0914286,297.3357143,293.0214286,5.11,78.29142857,24.85714286
sj,1992,5,29-01-1992,,0.0483,0.1736714,0.1919286,0,297.42,297.55,292.7185714,6.5,75.22,24.8
sj,1992,6,05-02-1992,0.1016,0.0846,0.1117167,0.1879571,0,296.92,297.1285714,292.6171429,16.2,77.05857143,24.71428571
sj,1992,7,12-02-1992,,0.1305,0.1957429,0.1788571,,297.7985714,298.0571429,294.65,20.1,82.87571429,26.02857143
sj,1992,8,19-02-1992,,0.1844667,0.1946143,0.2030571,,297.8985714,298.1071429,293.6285714,4.4,77.29571429,25.75714286
sj,1992,9,26-02-1992,0.10705,0.0815,0.1652429,0.1630571,,297.4728571,297.6785714,292.9671429,14.4,76.03714286,25.28571429
sj,1992,10,04-03-1992,,0.18218,0.1910857,0.1928571,0,297.6514286,297.8,293.3171429,5.5,76.87857143,25.65714286
sj,1992,11,11-03-1992,0.08685,0.09015,0.128,0.1551,23.22,297.6342857,297.7857143,293.54,12.6,78.05714286,25.78571429
sj,1992,12,18-03-1992,0.05305,0.08405,0.1417714,0.1345143,0,297.9471429,298.15,293.7085714,3.56,77.50571429,26.1
sj,1992,13,25-03-1992,,,0.1348429,0.1068,0,297.2185714,297.4285714,293.5785714,21,80.23857143,26.2
sj,1992,14,01-04-1992,0.09995,0.07765,0.1930667,0.1769,122.27,297.9828571,298.0714286,293.8842857,16.2,78.06714286,26.22857143
sj,1992,15,08-04-1992,0.1039,0.1315,0.1224714,0.1243857,43.21,298.6828571,298.8785714,294.1957143,11.1,76.37571429,26.98571429
sj,1992,16,15-04-1992,0.07515,0.09743333,0.1590286,0.1729857,83.11,297.8314286,298,294.9428571,70.6,84.18428571,26.81428571
sj,1992,17,22-04-1992,0.0922,0.1137,0.1514143,0.1548286,36.16,298.0885714,298.2571429,294.0485714,25.8,78.42571429,26.67142857
sj,1992,18,29-04-1992,0.0125,0.0635,0.07031429,0.08944286,0,298.1971429,298.5214286,293.4,4,74.93285714,27.37142857
sj,1992,19,06-05-1992,0.10875,0.2169,0.1823286,0.2073571,13.92,298.3357143,298.4428571,294.2214286,45,78.48,26.78571429
sj,1992,20,13-05-1992,0.101875,-0.0088,0.1420667,0.1259,2.94,298.3342857,298.5142857,294.2757143,27.5,78.38142857,27.44285714
sj,1992,21,20-05-1992,0.1024,0.0686,0.06238333,0.0574,71.85,298.4085714,298.5571429,295.7671429,570.5,85.64714286,27.85714286
sj,1992,22,27-05-1992,0.1215,,0.2191571,0.2130143,186.25,298.6157143,298.75,296.3342857,130.3,87.30142857,27.42857143
sj,1992,23,03-06-1992,0.12165,0.13995,0.1100857,0.1022286,42.24,299.1042857,299.2285714,296.5228571,50,85.82714286,27.5
sj,1992,24,10-06-1992,0.08395,0.0856,0.1023714,0.1117714,43.21,298.9014286,298.9642857,296.1542857,43.8,84.87,28.2
sj,1992,25,17-06-1992,0.10445,0.15315,0.1811571,0.1920857,52.07,298.9314286,298.9571429,296.0428571,37.1,84.24857143,28.28571429
sj,1992,26,24-06-1992,0.1302,0.1302,0.13938,0.11475,52.96,299.5685714,299.55,296.3842857,33.7,82.77714286,28.48571429
sj,1992,27,01-07-1992,0.1194,0.1439,0.1693286,0.1684714,10.74,300.1771429,300.3785714,296.2757143,10,79.33428571,29.22857143
sj,1992,28,08-07-1992,,0.192,0.1468571,0.1530714,1.86,300.2857143,300.5642857,296.1985714,5.4,78.49714286,28.72857143
sj,1992,29,15-07-1992,0.112,0.1255,0.14214,0.1825333,94.14,299.79,299.8285714,296.0528571,46.1,80.15,27.62857143
sj,1992,30,22-07-1992,-0.1396,0.05918,0.1371286,0.1288714,33.51,299.2271429,299.3714286,295.8757143,69.04,81.98428571,27.55714286
sj,1992,31,29-07-1992,0.0539,0.1261333,0.1337714,0.1499143,31.12,299.0257143,299.1071429,295.7457143,58.8,82.34571429,27.97142857
sj,1992,32,05-08-1992,0.152675,0.173275,0.1500429,0.1450571,59.22,299.7557143,299.9142857,296.1585714,27.1,80.78428571,28.07142857
sj,1992,33,12-08-1992,0.16395,0.12665,0.2150571,0.2192714,65.55,299.2157143,299.2214286,296.0071429,81.8,82.75,27.67142857
sj,1992,34,19-08-1992,0.1146,0.1368,0.1855857,0.1925714,68.22,299.4914286,299.7357143,296.2142857,61.6,82.31714286,28.21428571
sj,1992,35,26-08-1992,0.0875,0.0817,0.1799429,0.2217571,27.7,300.0671429,300.1571429,296.0571429,28.9,78.86428571,28.27142857
sj,1992,36,02-09-1992,,0.2175,0.1240143,0.1256571,61.55,300.1085714,300.1571429,296.1757143,34.36,79.20428571,28.72857143
sj,1992,37,09-09-1992,0.123975,0.1768,0.2357429,0.2148286,21.34,299.7271429,299.7571429,295.9371429,87.2,79.93,28.02857143
sj,1992,38,16-09-1992,0.0519,0.07226667,0.1775714,0.1588143,41.32,299.9785714,300.0714286,296.1114286,32.6,79.52571429,28.14285714
sj,1992,39,23-09-1992,0.1435,0.1435,0.1984,0.2122714,95.55,299.2928571,299.3785714,296.2814286,116.79,83.7,27.55714286
sj,1992,40,30-09-1992,0.1972,0.12715,0.1581333,0.09435,97.7,299.6242857,299.7071429,296.13,34.2,81.29714286,27.97142857
sj,1992,41,07-10-1992,0.137225,0.10745,0.1771857,0.1911,23.1,300.2671429,300.3285714,296.4242857,19.4,79.73714286,28.88571429
sj,1992,42,14-10-1992,0.3371,0.1979,0.1945857,0.1832286,18.95,300.1185714,300.2285714,295.8928571,11.3,77.83428571,29.15714286
sj,1992,43,21-10-1992,-0.0156,0.0312,0.1042167,0.1129833,12.18,299.8485714,299.9142857,295.6457143,21.5,77.87571429,28.65714286
sj,1992,44,28-10-1992,0.1242,0.1254,0.1156,0.1124286,80.58,299.8028571,299.8428571,295.8057143,25,78.91,28.67142857
sj,1992,45,04-11-1992,0.0866,0.1209667,0.2244429,0.2498571,64,299.8071429,299.85,296.27,27.7,81.05285714,28.38571429
sj,1992,46,11-11-1992,0.118,0.1422,0.08945,0.0668,40.06,299.0414286,299.2071429,295.0742857,31.72,79.01285714,27.54285714
sj,1992,47,18-11-1992,0.0764,0.05613333,0.1343714,0.06401429,43.44,298.3428571,298.2857143,294.6528571,49.97,80.25571429,26.68571429
sj,1992,48,25-11-1992,0.0971,0.1026333,0.1617143,0.1198286,47.42,298.6642857,298.7428571,296.0414286,128.1,85.58714286,27.4
sj,1992,49,02-12-1992,0.1083,0.074125,0.1750667,0.15275,53.73,298.46,298.55,295.2528571,54.8,82.64857143,26.62857143
sj,1992,50,09-12-1992,0.0547,0.1099,0.1981571,0.2159667,86.28,298.7342857,298.9142857,294.65,19.23,78.31142857,26.91428571
sj,1992,51,16-12-1992,,0.066425,0.1923429,0.1941286,0,298.2857143,298.5071429,293.8285714,24.94,76.66142857,26.68571429
sj,1992,52,23-12-1992,-0.01008,0.06821667,0.0869,0.0733125,0,297.1728571,297.35,292.8,23.8,76.75714286,25.91428571
sj,1993,53,01-01-1993,,,,,,,,,,,
sj,1993,1,08-01-1993,0.02835,0.04366667,0.07865714,0.04645714,46.79,297.4671429,297.55,294.15,41.9,81.87857143,25.87142857
sj,1993,2,15-01-1993,0.03006667,0.03785,0.1318857,0.1092,0,297.3314286,297.3428571,293.0685714,27.5,77.14428571,24.5
sj,1993,3,22-01-1993,,0.11345,0.2260571,0.2200286,0,297.4014286,297.6285714,293.0757143,11.2,76.98428571,24.85714286
sj,1993,4,29-01-1993,0.06613333,0.05705,0.1303667,0.1473833,0,296.9671429,297.1285714,292.8414286,21.8,77.86285714,24.4
sj,1993,5,05-02-1993,0.047425,0.02253333,0.09238571,0.09468571,75.97,297.6242857,297.6857143,294.0328571,26.3,80.61,26.67142857
sj,1993,6,12-02-1993,0.2738,0.0558,0.2020857,0.2047857,0,296.5942857,296.8,292.8714286,14.3,79.82571429,25.42857143
sj,1993,7,19-02-1993,0.1108667,0.173375,0.2375143,0.2274143,14.71,297.76,297.9714286,293.3428571,7.2,76.53285714,26.27142857
sj,1993,8,26-02-1993,,0.1339,0.2699286,0.2615857,0,296.7685714,296.8714286,292.3014286,21.5,76.21714286,25.7
sj,1993,9,05-03-1993,0.1744667,0.1338,0.1584833,0.1399167,0,297.0142857,297.2428571,291.9114286,1.8,73.22571429,25.57142857
sj,1993,10,12-03-1993,0.09403333,0.214,0.2035714,0.2538286,0,296.4257143,296.6428571,290.7757143,2.7,70.64571429,24.9
sj,1993,11,19-03-1993,-0.0411,-0.0436,0.1725333,0.1717714,9.68,297.8557143,298.0142857,293.6928571,10.5,77.78428571,26.92857143
sj,1993,12,26-03-1993,0.03225,0.10315,0.1850143,0.2041857,27,297.5857143,297.6714286,293.2228571,13,76.84857143,26.14285714
sj,1993,13,02-04-1993,0.1194,0.08853333,0.1404714,0.1174286,0,297.34,297.4428571,293.8128571,20.27,80.79571429,26.88571429
sj,1993,14,09-04-1993,,0.0423,0.1903667,0.2082143,7.49,297.7457143,297.8928571,293.7528571,14.2,78.56428571,27.2
sj,1993,15,16-04-1993,-0.0158,0.01885,0.068,0.0834,19.74,298.0128571,298,294.0657143,23.2,78.96142857,27.07142857
sj,1993,16,23-04-1993,0.0828,0.0788,0.1334571,0.1317,114.85,297.5285714,297.7428571,294.0728571,63.49,81.27142857,25.87142857
sj,1993,17,30-04-1993,,0.09256667,0.1315167,0.1252286,33.35,298.5914286,298.6928571,295.1942857,34.3,81.65571429,27.48571429
sj,1993,18,07-05-1993,0.07965,0.06415,0.1547429,0.1291571,37.35,298.1528571,298.1857143,295.26,40.7,84.08142857,26.94285714
sj,1993,19,14-05-1993,0.07305,0.052,0.1074857,0.1070286,34.9,297.6714286,297.6928571,294.8471429,142.4,84.52142857,26.47142857
sj,1993,20,21-05-1993,0.1769,0.0901,0.1792,0.1866833,14.84,298.6042857,298.7214286,295.3242857,55.67,82.43571429,28.22857143
sj,1993,21,28-05-1993,0.01645,0.10485,0.05147143,0.0644,78.17,299.3642857,299.3785714,296.6757143,100.2,85.39857143,28.94285714
sj,1993,22,04-06-1993,0.00305,0.0506,0.1981857,0.1761,62.2,298.8442857,298.9142857,296.4514286,93.2,86.9,27.64285714
sj,1993,23,11-06-1993,0.1206,,0.1537714,0.1484857,8.48,300.6585714,300.7357143,296.9785714,20.2,80.61571429,29.9
sj,1993,24,18-06-1993,,0.0785,0.2209429,0.2193714,30.65,299.1842857,299.2642857,295.7428571,55.5,81.49285714,27.72857143
sj,1993,25,25-06-1993,0.0374,0.1399667,0.1681714,0.1343571,93.75,299.5214286,299.4928571,296.2942857,74,82.60857143,27.34285714
sj,1993,26,02-07-1993,0.1237667,0.1522,0.2154143,0.2187714,8.49,299.7042857,299.8428571,296.51,27.5,82.83285714,28.84285714
sj,1993,27,09-07-1993,0.0689,0.09593333,0.1463429,0.1590429,37.28,299.5671429,299.6285714,296.03,72.8,81.14857143,28.24285714
sj,1993,28,16-07-1993,0.0375,0.09203333,0.1833571,0.2203714,73.94,299.5842857,299.7071429,296.0557143,67.7,81.21571429,27.88571429
sj,1993,29,23-07-1993,0.1204,0.1826,0.1665857,0.1923714,4.81,299.8914286,299.9642857,295.94,29.4,79.15,28.5
sj,1993,30,30-07-1993,0.08285,0.10608,0.12255,0.1236,78.03,299.2371429,299.2642857,296.5928571,109,85.55142857,27.94285714
sj,1993,31,06-08-1993,,0.1488,0.2467667,0.2581143,12.38,300.0628571,300.2642857,296.8571429,12.6,82.88285714,29.02857143
sj,1993,32,13-08-1993,0.1016,0.1401,0.2187,0.1692571,7.25,300.1214286,300.35,296.5614286,21.8,81.01285714,29.02857143
sj,1993,33,20-08-1993,0.0969,0.04966667,0.1970714,0.1632857,106.83,299.67,299.7714286,296.5128571,62.7,83.07571429,29.41428571
sj,1993,34,27-08-1993,0.10885,0.24925,0.2105714,0.2159143,1.36,299.9185714,299.9857143,296.49,26.9,81.72714286,28.97142857
sj,1993,35,03-09-1993,0.0979,0.1581,0.1638571,0.1509143,30.85,299.9757143,300.0357143,296.1071429,34.4,79.62857143,28.65714286
sj,1993,36,10-09-1993,0.1121,0.0688,0.0596,0.05133333,43.26,299.7614286,299.8571429,296.1285714,42.1,80.68428571,28.42857143
sj,1993,37,17-09-1993,0.1199,0.0971,0.2044429,0.1865857,14.42,299.6728571,299.7857143,296.2914286,50,81.79428571,28.6
sj,1993,38,24-09-1993,0.0054,0.063525,0.1392833,0.1168857,71.36,300.0671429,300.1428571,296.4614286,57.9,80.90142857,28.15714286
sj,1993,39,01-10-1993,0.034,0.0517,0.0726,0.09423333,72.86,299.8857143,299.9428571,296.6514286,76,82.61,28.28571429
sj,1993,40,08-10-1993,0.1213,0.0705,0.1886286,0.1652714,27.62,299.5914286,299.6071429,296.6328571,55.36,83.84142857,28.01428571
sj,1993,41,15-10-1993,0.1317,0.0645,0.20515,0.1731857,8.01,299.9571429,300.0428571,296.4257143,35.8,81.10285714,28.4
sj,1993,42,22-10-1993,0.0129,,0.1347,0.1496857,0,300.1814286,300.2428571,296.1685714,17,78.80714286,28.2
sj,1993,43,29-10-1993,0.117,0.1143,0.2702,0.1092667,70.07,299.7885714,299.7214286,296.1142857,57.6,80.39857143,28.07142857
sj,1993,44,05-11-1993,,0.1406667,0.1776167,0.1569,0,299.8857143,299.9214286,296.0071429,16.1,79.50428571,27.9
sj,1993,45,12-11-1993,-0.1589,0.0493,0.08248333,0.1696,0,299.2285714,299.35,295.2985714,25.6,79.03714286,27.64285714
sj,1993,46,19-11-1993,0.17315,0.013825,0.17535,0.1117429,12.5,298.8457143,299.05,295.1885714,70.71,80.37714286,27.17142857
sj,1993,47,26-11-1993,0.1071,0.1818,0.2600571,0.2705857,91.81,298.5714286,298.6785714,295.2557143,118.1,82.15428571,26.88571429
sj,1993,48,03-12-1993,0.3572667,-0.0095,0.12734,0.08941429,6.09,298.6271429,298.7214286,294.9657143,25.7,80.46571429,26.78571429
sj,1993,49,10-12-1993,,,0.1632333,0.08283333,5.29,298.2185714,298.1928571,294.52,43.4,80.30285714,26.52857143
sj,1993,50,17-12-1993,-0.2902,-0.06766667,0.1682857,0.08,14.82,298.5657143,298.5857143,294.16,28.6,76.85428571,26.22857143
sj,1993,51,24-12-1993,-0.0237,-0.02115,0.1181143,0.07024286,42.62,298.2185714,298.3357143,294.2342857,33.6,78.82857143,26.04285714
